epoch,train_loss,val_loss,lr
1,0.0008706444972358718,8.401576596175308e-05,0.0001
2,0.00012996696816968125,8.38901556167251e-05,0.0001
3,0.00011232459679371353,8.42996857724906e-05,0.0001
4,0.00011159118671054398,8.380884441246056e-05,0.0001
5,0.00011140187551492044,8.422833914646984e-05,0.0001
6,0.00011145244020025494,8.386833091467263e-05,0.0001
7,0.0001114179452335676,8.385101361872261e-05,5e-05
8,0.00011145834121951906,8.384139469487502e-05,5e-05
9,0.00011119811994903566,8.347533542783451e-05,5e-05
10,0.00010959539166074263,8.365832905050869e-05,5e-05
11,0.00010838411122226341,8.359116411107494e-05,5e-05
12,0.00010757308970145298,8.346946934391349e-05,2.5e-05
13,0.00010697991147457294,8.368664635366853e-05,2.5e-05
14,0.00010687835034006822,8.365434414737956e-05,2.5e-05
15,0.00010685297141121918,8.351999147580277e-05,1.25e-05
16,0.00010657885113075478,8.361915373133678e-05,1.25e-05
17,0.00010644451170846099,8.364545041859292e-05,1.25e-05
